Year,Age,Female,Male,Total
1931,10-14,162696,166230,328926
1931,15-19,164043,164451,328494
1931,20-24,162467,156470,318937
1931,25-29,150483,140899,291382
1931,30-34,141310,129730,271040
1931,35-39,124676,115100,239776
1931,40-44,113397,104892,218289
1931,45-49,102930,96306,199236
1931,50-54,92069,87354,179423
1931,55-59,75834,72422,148256
1931,60-64,65375,58772,124147
1931,65-69,52066,45126,97192
1931,70-74,42243,35928,78171
1931,75-79,26556,22389,48945
1931,80-84,13638.25,10757.69,24395.94
1931,85-89,4920.62,3624.04,8544.66
1931,90-94,1079.94,733.33,1813.27
1931,95-99,139.13,64.39,203.52
1931,100-104,3.76,2.27,6.03
1931,105-109,0,0,0
1931,110+,0,0,0
1932,0,30000,31200,61200
1932,1-4,120900,123700,244600
1932,5-9,162100,165800,327900
1932,10-14,165700,170000,335700
1932,15-19,162800,164000,326800
1932,20-24,163700,160900,324600
1932,25-29,152700,145300,298000
1932,30-34,142300,132000,274300
1932,35-39,129100,119300,248400
1932,40-44,114300,106500,220800
1932,45-49,105500,98400,203900
1932,50-54,92300,88000,180300
1932,55-59,79600,75700,155300
1932,60-64,64900,59600,124500
1932,65-69,53100,46600,99700
1932,70-74,42300,36000,78300
1932,75-79,27200,23000,50200
1932,80-84,13528.95,10778.57,24307.52
1932,85-89,4936.26,3659.83,8596.09
1932,90-94,1061.65,698.49,1760.14
1932,95-99,138.02,68.85,206.87
1932,100-104,5.37,1.78,7.15
1932,105-109,0,0,0
1932,110+,0,0,0
1933,0,30300,31100,61400
1933,1-4,119600,122800,242400
1933,5-9,160100,163700,323800
1933,10-14,166400,170300,336700
1933,15-19,160100,161000,321100
1933,20-24,165900,164600,330500
1933,25-29,154400,148400,302800
1933,30-34,145100,135500,280600
1933,35-39,131400,122800,254200
1933,40-44,116000,107800,223800
1933,45-49,106900,99900,206800
1933,50-54,94000,88900,182900
1933,55-59,81300,77900,159200
1933,60-64,66600,61400,128000
1933,65-69,54100,47500,101600
1933,70-74,42200,36000,78200
1933,75-79,27400,23100,50500
1933,80-84,13854.11,11017.58,24871.69
1933,85-89,4914.41,3644.81,8559.22
1933,90-94,1086.77,757.17,1843.94
1933,95-99,151.81,69.94,221.75
1933,100-104,4.44,2.04,6.48
1933,105-109,0,0,0
1933,110+,0,0,0
1934,0,29200,30700,59900
1934,1-4,118400,121100,239500
1934,5-9,158000,161600,319600
1934,10-14,166700,170600,337300
1934,15-19,159600,161000,320600
1934,20-24,166100,165800,331900
1934,25-29,157500,152000,309500
1934,30-34,145700,137900,283600
1934,35-39,135000,126200,261200
1934,40-44,117400,109500,226900
1934,45-49,109400,102000,211400
1934,50-54,95000,89700,184700
1934,55-59,83400,80100,163500
1934,60-64,67500,62900,130400
1934,65-69,55200,48700,103900
1934,70-74,42000,35800,77800
1934,75-79,28200,23800,52000
1934,80-84,14121.27,11384.56,25505.83
1934,85-89,5038.56,3762.83,8801.39
1934,90-94,1176.97,763.67,1940.64
1934,95-99,139.68,85.45,225.13
1934,100-104,2.37,0,2.37
1934,105-109,0,0,0
1934,110+,0,0,0
1935,0,30200,31700,61900
1935,1-4,118200,121300,239500
1935,5-9,154100,157800,311900
1935,10-14,168500,172100,340600
1935,15-19,157000,159300,316300
1935,20-24,165800,165200,331000
1935,25-29,160400,156500,316900
1935,30-34,148500,141600,290100
1935,35-39,137200,128100,265300
1935,40-44,119800,112500,232300
1935,45-49,109500,102400,211900
1935,50-54,97500,91900,189400
1935,55-59,85700,81900,167600
1935,60-64,68800,64900,133700
1935,65-69,56200,49600,105800
1935,70-74,42000,35800,77800
1935,75-79,28700,24100,52800
1935,80-84,14550.35,11824.62,26374.97
1935,85-89,5167.61,3848.9,9016.51
1935,90-94,1253.99,811.65,2065.64
1935,95-99,140.24,82.62,222.86
1935,100-104,6.85,0.86,7.71
1935,105-109,0,0,0
1935,110+,0,0,0
1936,0,30300,31800,62100
1936,1-4,117500,121000,238500
1936,5-9,152200,155800,308000
1936,10-14,164200,167800,332000
1936,15-19,161800,164100,325900
1936,20-24,163300,163200,326500
1936,25-29,163000,159600,322600
1936,30-34,149800,144000,293800
1936,35-39,139800,130900,270700
1936,40-44,122600,115400,238000
1936,45-49,110500,103300,213800
1936,50-54,99500,93700,193200
1936,55-59,87100,83200,170300
1936,60-64,70400,66800,137200
1936,65-69,57300,51000,108300
1936,70-74,42100,35800,77900
1936,75-79,29300,24500,53800
1936,80-84,14658.28,11933.49,26591.77
1936,85-89,5264.61,3978.92,9243.53
1936,90-94,1211.36,806.29,2017.65
1936,95-99,146.88,101.2,248.08
1936,100-104,4.88,2.64,7.52
1936,105-109,0,0,0
1936,110+,0,0,0
1937,0,31100,32300,63400
1937,1-4,117600,121100,238700
1937,5-9,150000,153900,303900
1937,10-14,161300,164800,326100
1937,15-19,164700,167200,331900
1937,20-24,161900,161900,323800
1937,25-29,164000,161700,325700
1937,30-34,151800,146700,298500
1937,35-39,140500,132200,272700
1937,40-44,126600,118600,245200
1937,45-49,111300,104500,215800
1937,50-54,101800,95300,197100
1937,55-59,87500,83500,171000
1937,60-64,73400,69400,142800
1937,65-69,57100,51600,108700
1937,70-74,43000,36900,79900
1937,75-79,29000,24400,53400
1937,80-84,15122.25,12173.68,27295.93
1937,85-89,5281.59,3973.06,9254.65
1937,90-94,1185.12,830.2,2015.32
1937,95-99,146.65,86.4,233.05
1937,100-104,5.37,2.61,7.98
1937,105-109,0,0,0
1937,110+,0,0,0
1938,0,31800,32600,64400
1938,1-4,118000,122206,240206
1938,5-9,149300,152500,301800
1938,10-14,159400,162800,322200
1938,15-19,165500,168800,334300
1938,20-24,158800,158800,317600
1938,25-29,165700,164200,329900
1938,30-34,153400,148700,302100
1938,35-39,143300,135200,278500
1938,40-44,129000,121700,250700
1938,45-49,112900,105700,218600
1938,50-54,103100,96500,199600
1938,55-59,89100,84100,173200
1938,60-64,74900,71300,146200
1938,65-69,58400,53200,111600
1938,70-74,43600,37500,81100
1938,75-79,29000,24300,53300
1938,80-84,15265.02,12408.58,27673.6
1938,85-89,5396.51,4110.13,9506.64
1938,90-94,1194.15,829.23,2023.38
1938,95-99,144.77,96.06,240.83
1938,100-104,4.23,2.97,7.2
1938,105-109,0,0,0
1938,110+,0,0,0
1939,0,32000,33600,65600
1939,1-4,120200,124000,244200
1939,5-9,146900,150100,297000
1939,10-14,157400,160800,318200
1939,15-19,165800,169400,335200
1939,20-24,158200,158600,316800
1939,25-29,165200,164400,329600
1939,30-34,156100,151400,307500
1939,35-39,143800,137100,280900
1939,40-44,132600,124600,257200
1939,45-49,114500,107200,221700
1939,50-54,105500,98400,203900
1939,55-59,90100,84900,175000
1939,60-64,76900,73300,150200
1939,65-69,59300,54500,113800
1939,70-74,44500,38500,83000
1939,75-79,29100,24300,53400
1939,80-84,15681.67,12664.34,28346.01
1939,85-89,5541.33,4301.12,9842.45
1939,90-94,1220.12,832.26,2052.38
1939,95-99,176.96,84.58,261.54
1939,100-104,5.05,5.44,10.49
1939,105-109,0,0,0
1939,110+,0,0,0
1940,0,31700,33700,65400
1940,1-4,122200,126100,248300
1940,5-9,147100,150800,297900
1940,10-14,153700,157100,310800
1940,15-19,168000,171200,339200
1940,20-24,156100,157400,313500
1940,25-29,164600,163400,328000
1940,30-34,158800,155200,314000
1940,35-39,146500,140300,286800
1940,40-44,134900,126200,261100
1940,45-49,116900,109900,226800
1940,50-54,105700,98800,204500
1940,55-59,92800,86800,179600
1940,60-64,79100,75100,154200
1940,65-69,60500,56200,116700
1940,70-74,45300,39100,84400
1940,75-79,29200,24400,53600
1940,80-84,15972.74,12959.49,28932.23
1940,85-89,5726.39,4423.79,10150.18
1940,90-94,1236.15,893.2,2129.35
1940,95-99,166.93,90.56,257.49
1940,100-104,5.1,4.47,9.57
1940,105-109,0,0,0
1940,110+,0,0,0
1941,0,33120,34464,67584
1941,1-4,123669,128287,251956
1941,5-9,146253,150550,296803
1941,10-14,151707,155135,306842
1941,15-19,163649,166519,330168
1941,20-24,160623,160850,321473
1941,25-29,161767,160162,321929
1941,30-34,161004,157254,318258
1941,35-39,147560,142052,289612
1941,40-44,137371,128501,265872
1941,45-49,119668,112488,232156
1941,50-54,106744,99468,206212
1941,55-59,94618,88346,182964
1941,60-64,80493,76059,156552
1941,65-69,61734,57814,119548
1941,70-74,46117,40132,86249
1941,75-79,29270,24278,53548
1941,80-84,16200,12995,29195
1941,85-89,5677,4368,10045
1941,90-94,1166,883,2049
1941,95-99,157.25,85.18,242.43
1941,100-104,7.76,3.82,11.58
1941,105-109,0,0,0
1941,110+,0,0,0
1942,0,33559,35139,68698
1942,1-4,125848,130616,256464
1942,5-9,147078,151386,298464
1942,10-14,149442,153194,302636
1942,15-19,160643,163767,324410
1942,20-24,163292,164873,328165
1942,25-29,160342,159463,319805
1942,30-34,161975,159490,321465
1942,35-39,149681,144740,294421
1942,40-44,138082,129947,268029
1942,45-49,123666,115687,239353
1942,50-54,107501,100728,208229
1942,55-59,96913,89878,186791
1942,60-64,80887,76333,157220
1942,65-69,64673,60196,124869
1942,70-74,46029,40702,86731
1942,75-79,30017,25072,55089
1942,80-84,16198,12989,29187
1942,85-89,5812,4398,10210
1942,90-94,1181,862,2043
1942,95-99,153.98,81,234.98
1942,100-104,7.03,2,9.03
1942,105-109,0,0,0
1942,110+,0,0,0
1943,0,37445,39282,76727
1943,1-4,127849,133449,261298
1943,5-9,148598,153220,301818
1943,10-14,148857,151949,300806
1943,15-19,158858,161908,320766
1943,20-24,164183,166791,330974
1943,25-29,157524,156522,314046
1943,30-34,163844,162080,325924
1943,35-39,151268,146756,298024
1943,40-44,140927,132887,273814
1943,45-49,126087,118795,244882
1943,50-54,109254,101960,211214
1943,55-59,98251,91205,189456
1943,60-64,82659,77007,159666
1943,65-69,66173,62081,128254
1943,70-74,47477,42377,89854
1943,75-79,30598,25784,56382
1943,80-84,16485,13018,29503
1943,85-89,6018,4654,10672
1943,90-94,1296,911,2207
1943,95-99,150,90,240
1943,100-104,7,3,10
1943,105-109,0,0,0
1943,110+,0,0,0
1944,0,39893,41593,81486
1944,1-4,133343,139397,272740
1944,5-9,151013,155864,306877
1944,10-14,146452,149528,295980
1944,15-19,156838,159987,316825
1944,20-24,164855,167394,332249
1944,25-29,157055,156826,313881
1944,30-34,163587,162390,325977
1944,35-39,154159,149486,303645
1944,40-44,141568,134914,276482
1944,45-49,129825,121783,251608
1944,50-54,110906,103554,214460
1944,55-59,100613,93049,193662
1944,60-64,83762,77920,161682
1944,65-69,68160,63836,131996
1944,70-74,48351,43618,91969
1944,75-79,31500,26713,58213
1944,80-84,16699,13229,29928
1944,85-89,6269,4848,11117
1944,90-94,1414,973,2387
1944,95-99,157,85,242
1944,100-104,12,3,15
1944,105-109,0,0,0
1944,110+,0,0,0
1945,0,42530,44957,87487
1945,1-4,141479,147287,288766
1945,5-9,152665,158125,310790
1945,10-14,146643,150175,296818
1945,15-19,152994,156122,309116
1945,20-24,166918,169056,335974
1945,25-29,154610,155498,310108
1945,30-34,162883,161309,324192
1945,35-39,156795,153132,309927
1945,40-44,144159,137903,282062
1945,45-49,132000,123314,255314
1945,50-54,113160,106095,219255
1945,55-59,100830,93455,194285
1945,60-64,86217,79808,166025
1945,65-69,69979,65605,135584
1945,70-74,49344,45042,94386
1945,75-79,32107,27358,59465
1945,80-84,16658,13239,29897
1945,85-89,6459,5033,11492
1945,90-94,1486,1034,2520
1945,95-99,166,89,255
1945,100-104,13,1,14
1945,105-109,1,0,1
1945,110+,0,0,0
1946,0,44814,47770,92584
1946,1-4,151918,157576,309494
1946,5-9,156500,161635,318135
1946,10-14,144660,149758,294418
1946,15-19,149273,152122,301395
1946,20-24,162991,161091,324082
1946,25-29,160798,159206,320004
1946,30-34,161431,160138,321569
1946,35-39,158180,155847,314027
1946,40-44,145360,140218,285578
1946,45-49,133621,125492,259113
1946,50-54,116452,108915,225367
1946,55-59,101585,94587,196172
1946,60-64,88532,81780,170312
1946,65-69,71125,66747,137872
1946,70-74,51174,46682,97856
1946,75-79,33143,28499,61642
1946,80-84,16957,13640,30597
1946,85-89,6769,5195,11964
1946,90-94,1512,1070,2582
1946,95-99,169,111,280
1946,100-104,13,4,17
1946,105-109,1,0,1
1946,110+,0,0,0
1947,0,45098,47840,92938
1947,1-4,163310,170450,333760
1947,5-9,159141,164408,323549
1947,10-14,146197,151304,297501
1947,15-19,146493,149866,296359
1947,20-24,158196,156106,314302
1947,25-29,162965,160030,322995
1947,30-34,160135,158065,318200
1947,35-39,159819,158068,317887
1947,40-44,146867,142357,289224
1947,45-49,135366,127389,262755
1947,50-54,119647,112006,231653
1947,55-59,102955,95783,198738
1947,60-64,90144,83143,173287
1947,65-69,72133,67366,139499
1947,70-74,52758,48426,101184
1947,75-79,33906,29480,63386
1947,80-84,17548,14299,31847
1947,85-89,6834,5172,12006
1947,90-94,1519,1074,2593
1947,95-99,191,101,292
1947,100-104,8,4,12
1947,105-109,1,0,1
1947,110+,0,0,0
1948,0,43344,45704,89048
1948,1-4,170289,178719,349008
1948,5-9,165491,171380,336871
1948,10-14,147455,152721,300176
1948,15-19,145330,149127,294457
1948,20-24,154736,153699,308435
1948,25-29,163062,159749,322811
1948,30-34,157601,155029,312630
1948,35-39,160876,159740,320616
1948,40-44,148747,144498,293245
1948,45-49,137338,129673,267011
1948,50-54,122530,114932,237462
1948,55-59,104685,97172,201857
1948,60-64,91696,84260,175956
1948,65-69,73590,68277,141867
1948,70-74,54454,50349,104803
1948,75-79,34532,30321,64853
1948,80-84,17810,14502,32312
1948,85-89,6978,5238,12216
1948,90-94,1562,1076,2638
1948,95-99,187,115,302
1948,100-104,8,4,12
1948,105-109,1,0,1
1948,110+,0,0,0
1949,0,40217,42563,82780
1949,1-4,173486,182896,356382
1949,5-9,173026,179135,352161
1949,10-14,150743,155451,306194
1949,15-19,142980,147569,290549
1949,20-24,151204,152053,303257
1949,25-29,162612,159207,321819
1949,30-34,156204,153659,309863
1949,35-39,161047,159932,320979
1949,40-44,150988,147029,298017
1949,45-49,139148,132161,271309
1949,50-54,125217,117298,242515
1949,55-59,106697,98862,205559
1949,60-64,93325,85677,179002
1949,65-69,75538,69444,144982
1949,70-74,56471,52317,108788
1949,75-79,35515,31313,66828
1949,80-84,18742,15370,34112
1949,85-89,7225,5479,12704
1949,90-94,1707,1204,2911
1949,95-99,213,134,347
1949,100-104,12,4,16
1949,105-109,0,0,0
1949,110+,0,0,0
1950,0,37956,39891,77847
1950,1-4,171073,180824,351897
1950,5-9,183651,190119,373770
1950,10-14,152930,157932,310862
1950,15-19,143380,148167,291547
1950,20-24,147761,149532,297293
1950,25-29,163853,159848,323701
1950,30-34,154556,152183,306739
1950,35-39,160361,158895,319256
1950,40-44,153650,150094,303744
1950,45-49,140882,134650,275532
1950,50-54,127847,119330,247177
1950,55-59,109074,101015,210089
1950,60-64,94452,86738,181190
1950,65-69,77593,70765,148358
1950,70-74,58142,53896,112038
1950,75-79,36475,32338,68813
1950,80-84,19458,15777,35235
1950,85-89,7273,5621,12894
1950,90-94,1855,1293,3148
1950,95-99,241,138,379
1950,100-104,14,3,17
1950,105-109,0,0,0
1950,110+,0,0,0
1951,0,38283,39583,77866
1951,1-4,164949,173056,338005
1951,5-9,194609,203430,398039
1951,10-14,155803,160600,316403
1951,15-19,144305,147913,292218
1951,20-24,147489,148247,295736
1951,25-29,159464,156402,315866
1951,30-34,156998,155220,312218
1951,35-39,157904,155866,313770
1951,40-44,155740,152730,308470
1951,45-49,141928,136260,278188
1951,50-54,130037,121161,251198
1951,55-59,111503,103300,214803
1951,60-64,95275,87181,182456
1951,65-69,79364,72276,151640
1951,70-74,59366,54671,114037
1951,75-79,37478,33928,71406
1951,80-84,19779,16220,35999
1951,85-89,7407,5709,13116
1951,90-94,1867,1290,3157
1951,95-99,236,140,376
1951,100-104,16,8,24
1951,105-109,0,0,0
1951,110+,0,0,0
1952,0,36186,38524,74710
1952,1-4,158183,165016,323199
1952,5-9,206147,215951,422098
1952,10-14,157770,163163,320933
1952,15-19,145972,149474,295446
1952,20-24,144993,145345,290338
1952,25-29,155844,152144,307988
1952,30-34,159484,156754,316238
1952,35-39,156278,153850,310128
1952,40-44,156943,154394,311337
1952,45-49,143879,138566,282445
1952,50-54,131007,122667,253674
1952,55-59,115279,106166,221445
1952,60-64,96616,88580,185196
1952,65-69,81364,73754,155118
1952,70-74,60289,55305,115594
1952,75-79,39289,35460,74749
1952,80-84,20218,16810,37028
1952,85-89,7668,6103,13771
1952,90-94,1984,1325,3309
1952,95-99,231,153,384
1952,100-104,8,8,16
1952,105-109,0,0,0
1952,110+,0,0,0
1953,0,36571,38555,75126
1953,1-4,151278,158379,309657
1953,5-9,211409,221808,433217
1953,10-14,164109,170315,334424
1953,15-19,147187,151179,298366
1953,20-24,144409,144713,289122
1953,25-29,153533,149839,303372
1953,30-34,160109,157370,317479
1953,35-39,153791,150751,304542
1953,40-44,158574,156485,315059
1953,45-49,145474,140575,286049
1953,50-54,133768,125303,259071
1953,55-59,117743,108924,226667
1953,60-64,98175,89683,187858
1953,65-69,82924,74799,157723
1953,70-74,61853,55945,117798
1953,75-79,40448,36771,77219
1953,80-84,20858,17643,38501
1953,85-89,7775,6210,13985
1953,90-94,1986,1396,3382
1953,95-99,236,160,396
1953,100-104,13,10,23
1953,105-109,0,0,0
1953,110+,0,0,0
1954,0,37045,39432,76477
1954,1-4,147452,154507,301959
1954,5-9,212569,223364,435933
1954,10-14,171719,178347,350066
1954,15-19,150373,154331,304704
1954,20-24,142895,143895,286790
1954,25-29,151233,148492,299725
1954,30-34,160622,157274,317896
1954,35-39,153115,150510,303625
1954,40-44,158739,156757,315496
1954,45-49,148190,143438,291628
1954,50-54,134544,127075,261619
1954,55-59,121119,111699,232818
1954,60-64,99990,91227,191217
1954,65-69,85023,76382,161405
1954,70-74,63186,56766,119952
1954,75-79,41679,37958,79637
1954,80-84,21347,18313,39660
1954,85-89,8158,6415,14573
1954,90-94,1929,1415,3344
1954,95-99,242,173,415
1954,100-104,13,9,22
1954,105-109,0,0,0
1954,110+,0,0,0
1955,0,36368,38274,74642
1955,1-4,146949,154574,301523
1955,5-9,208047,218262,426309
1955,10-14,182567,189778,372345
1955,15-19,151910,156511,308421
1955,20-24,143089,144553,287642
1955,25-29,148036,145848,293884
1955,30-34,162083,158075,320158
1955,35-39,150873,148909,299782
1955,40-44,157902,155572,313474
1955,45-49,151073,147090,298163
1955,50-54,137004,129787,266791
1955,55-59,123431,113442,236873
1955,60-64,102444,93335,195779
1955,65-69,85561,76794,162355
1955,70-74,65572,58317,123889
1955,75-79,42960,39043,82003
1955,80-84,21909,19090,40999
1955,85-89,8418,6528,14946
1955,90-94,1937,1428,3365
1955,95-99,258,180,438
1955,100-104,17,11,28
1955,105-109,0,0,0
1955,110+,0,0,0
1956,0,36362,38741,75103
1956,1-4,145096,153280,298376
1956,5-9,201703,210664,412367
1956,10-14,193873,202449,396322
1956,15-19,154574,159514,314088
1956,20-24,142141,143525,285666
1956,25-29,145814,143440,289254
1956,30-34,157856,153329,311185
1956,35-39,155425,152818,308243
1956,40-44,155955,153226,309181
1956,45-49,153143,149599,302742
1956,50-54,138619,131981,270600
1956,55-59,125533,115388,240921
1956,60-64,105405,95886,201291
1956,65-69,86834,77354,164188
1956,70-74,67515,59808,127323
1956,75-79,44340,39714,84054
1956,80-84,23021,20109,43130
1956,85-89,8878,6861,15739
1956,90-94,2019,1496,3515
1956,95-99,291,186,477
1956,100-104,17,9,26
1956,105-109,0,0,0
1956,110+,0,0,0
1957,0,36453,38492,74945
1957,1-4,145041,153211,298252
1957,5-9,192905,201644,394549
1957,10-14,205337,214943,420280
1957,15-19,156098,161961,318059
1957,20-24,142883,143933,286816
1957,25-29,142883,140574,283457
1957,30-34,154208,149362,303570
1957,35-39,157921,154578,312499
1957,40-44,154462,151506,305968
1957,45-49,154384,151289,305673
1957,50-54,140503,134322,274825
1957,55-59,126579,116742,243321
1957,60-64,109144,98504,207648
1957,65-69,88375,78550,166925
1957,70-74,69339,61084,130423
1957,75-79,45345,40219,85564
1957,80-84,24299,21071,45370
1957,85-89,9215,7125,16340
1957,90-94,2171,1655,3826
1957,95-99,307,176,483
1957,100-104,16,11,27
1957,105-109,0,1,1
1957,110+,0,0,0
1958,0,35771,37891,73662
1958,1-4,144501,152732,297233
1958,5-9,186101,194680,380781
1958,10-14,210319,220468,430787
1958,15-19,162255,169014,331269
1958,20-24,143332,144669,288001
1958,25-29,141781,138847,280628
1958,30-34,151568,146667,298235
1958,35-39,158380,154806,313186
1958,40-44,151888,148340,300228
1958,45-49,156092,153255,309347
1958,50-54,142078,136225,278303
1958,55-59,129277,119186,248463
1958,60-64,111575,100958,212533
1958,65-69,89936,79411,169347
1958,70-74,70722,61807,132529
1958,75-79,46746,40804,87550
1958,80-84,25389,21892,47281
1958,85-89,9430,7534,16964
1958,90-94,2279,1656,3935
1958,95-99,307,206,513
1958,100-104,14,9,23
1958,105-109,0,1,1
1958,110+,0,0,0
1959,0,35651,37589,73240
1959,1-4,143533,151531,295064
1959,5-9,182555,191519,374074
1959,10-14,211276,221909,433185
1959,15-19,169733,177098,346831
1959,20-24,146207,148612,294819
1959,25-29,139902,137550,277452
1959,30-34,148900,144915,293815
1959,35-39,158705,154507,313212
1959,40-44,151200,147912,299112
1959,45-49,156147,153531,309678
1959,50-54,144795,138878,283673
1959,55-59,130134,120897,251031
1959,60-64,114911,103437,218348
1959,65-69,91655,80737,172392
1959,70-74,72875,62885,135760
1959,75-79,47950,41428,89378
1959,80-84,26274,22527,48801
1959,85-89,9741,7777,17518
1959,90-94,2368,1713,4081
1959,95-99,321,217,538
1959,100-104,17,7,24
1959,105-109,0,0,0
1959,110+,0,0,0
1960,0,35362,37151,72513
1960,1-4,143324,151433,294757
1960,5-9,181373,190498,371871
1960,10-14,206730,216756,423486
1960,15-19,180604,188391,368995
1960,20-24,148183,151991,300174
1960,25-29,140163,138647,278810
1960,30-34,145850,142573,288423
1960,35-39,160086,155457,315543
1960,40-44,149014,146333,295347
1960,45-49,155384,152354,307738
1960,50-54,147682,142562,290244
1960,55-59,132548,123437,255985
1960,60-64,117193,104903,222096
1960,65-69,94061,82817,176878
1960,70-74,73628,63141,136769
1960,75-79,50044,42650,92694
1960,80-84,27110,23288,50398
1960,85-89,10122,8136,18258
1960,90-94,2494,1715,4209
1960,95-99,308,217,525
1960,100-104,10,9,19
1960,105-109,0,0,0
1960,110+,0,0,0
1961,0,36212,37521,73733
1961,1-4,143002,150082,293084
1961,5-9,179881,189591,369472
1961,10-14,200406,209392,409798
1961,15-19,191906,200990,392896
1961,20-24,151169,154754,305923
1961,25-29,139407,138766,278173
1961,30-34,143815,141032,284847
1961,35-39,155874,151593,307467
1961,40-44,153529,150777,304306
1961,45-49,153354,150161,303515
1961,50-54,149548,144873,294421
1961,55-59,134227,125723,259950
1961,60-64,118801,106406,225207
1961,65-69,97319,84919,182238
1961,70-74,74561,63482,138043
1961,75-79,51631,43570,95201
1961,80-84,27893,23566,51459
1961,85-89,10498,8641,19139
1961,90-94,2570,1734,4304
1961,95-99,325,198,523
1961,100-104,21,9,30
1961,105-109,0,0,0
1961,110+,0,0,0
1962,0,36646,38322,74968
1962,1-4,143006,149580,292586
1962,5-9,180971,190453,371424
1962,10-14,191915,200631,392546
1962,15-19,203177,213608,416785
1962,20-24,153839,158315,312154
1962,25-29,140977,141054,282031
1962,30-34,141780,139862,281642
1962,35-39,152712,148661,301373
1962,40-44,156401,153117,309518
1962,45-49,152072,148719,300791
1962,50-54,151016,146923,297939
1962,55-59,136007,127967,263974
1962,60-64,120278,107927,228205
1962,65-69,100592,86908,187500
1962,70-74,76385,64505,140890
1962,75-79,53081,44520,97601
1962,80-84,28704,23910,52614
1962,85-89,11146,8916,20062
1962,90-94,2653,1883,4536
1962,95-99,349,222,571
1962,100-104,26,9,35
1962,105-109,1,0,1
1962,110+,0,0,0
1963,0,37433,39046,76479
1963,1-4,143988,150349,294337
1963,5-9,180520,190008,370528
1963,10-14,186124,194732,380856
1963,15-19,208584,219523,428107
1963,20-24,160442,166241,326683
1963,25-29,143025,143748,286773
1963,30-34,141381,139307,280688
1963,35-39,150797,147108,297905
1963,40-44,157141,153992,311133
1963,45-49,149934,146122,296056
1963,50-54,152839,148992,301831
1963,55-59,137452,129801,267253
1963,60-64,123031,110092,233123
1963,65-69,103006,89148,192154
1963,70-74,77720,65090,142810
1963,75-79,54355,44757,99112
1963,80-84,29530,24148,53678
1963,85-89,11735,9324,21059
1963,90-94,2757,1969,4726
1963,95-99,371,206,577
1963,100-104,24,13,37
1963,105-109,1,0,1
1963,110+,0,0,0
1964,0,39599,41435,81034
1964,1-4,145563,151651,297214
1964,5-9,179816,189049,368865
1964,10-14,183080,191786,374866
1964,15-19,209390,221010,430400
1964,20-24,168159,174403,342562
1964,25-29,146121,147285,293406
1964,30-34,139562,137966,277528
1964,35-39,148401,145406,293807
1964,40-44,157650,153891,311541
1964,45-49,149232,145855,295087
1964,50-54,152936,149281,302217
1964,55-59,140348,132429,272777
1964,60-64,124087,111584,235671
1964,65-69,105863,91058,196921
1964,70-74,79624,66067,145691
1964,75-79,55938,45564,101502
1964,80-84,30500,24377,54877
1964,85-89,12171,9588,21759
1964,90-94,2882,2053,4935
1964,95-99,375,208,583
1964,100-104,31,17,48
1964,105-109,1,0,1
1964,110+,0,0,0
1965,0,39821,42211,82032
1965,1-4,149640,155965,305605
1965,5-9,179259,188493,367752
1965,10-14,181951,190674,372625
1965,15-19,205299,216133,421432
1965,20-24,178864,186169,365033
1965,25-29,147876,150190,298066
1965,30-34,139896,138683,278579
1965,35-39,145337,142599,287936
1965,40-44,159151,154852,314003
1965,45-49,147251,144567,291818
1965,50-54,152222,148059,300281
1965,55-59,143214,135812,279026
1965,60-64,126453,113779,240232
1965,65-69,107907,91826,199733
1965,70-74,81823,67531,149354
1965,75-79,56794,45696,102490
1965,80-84,31755,25057,56812
1965,85-89,12708,9803,22511
1965,90-94,2999,2129,5128
1965,95-99,406,220,626
1965,100-104,25,11,36
1965,105-109,0,0,0
1965,110+,0,0,0
1966,0,41106,43120,84226
1966,1-4,153138,159895,313033
1966,5-9,179898,188433,368331
1966,10-14,180420,189937,370357
1966,15-19,199809,209218,409027
1966,20-24,189682,198051,387733
1966,25-29,150588,153856,304444
1966,30-34,139579,139285,278864
1966,35-39,143534,140918,284452
1966,40-44,155050,150737,305787
1966,45-49,151347,148027,299374
1966,50-54,150550,146241,296791
1966,55-59,144979,137635,282614
1966,60-64,128359,115819,244178
1966,65-69,109592,93306,202898
1966,70-74,84571,69069,153640
1966,75-79,57693,45690,103383
1966,80-84,32986,25453,58439
1966,85-89,13099,10034,23133
1966,90-94,3224,2254,5478
1966,95-99,444,221,665
1966,100-104,18,8,26
1966,105-109,0,0,0
1966,110+,0,0,0
1967,0,42351,44590,86941
1967,1-4,157582,164790,322372
1967,5-9,180132,188494,368626
1967,10-14,181272,190434,371706
1967,15-19,191725,200782,392507
1967,20-24,200922,211009,411931
1967,25-29,153261,157452,310713
1967,30-34,140977,141300,282277
1967,35-39,141441,139517,280958
1967,40-44,151834,147791,299625
1967,45-49,154275,150310,304585
1967,50-54,149162,144678,293840
1967,55-59,146502,139595,286097
1967,60-64,129965,117577,247542
1967,65-69,111163,94507,205670
1967,70-74,87206,70170,157376
1967,75-79,59183,46214,105397
1967,80-84,33932,25712,59644
1967,85-89,13449,10058,23507
1967,90-94,3344,2347,5691
1967,95-99,440,242,682
1967,100-104,24,5,29
1967,105-109,0,0,0
1967,110+,0,0,0
1968,0,39134,41068,80202
1968,1-4,162474,170450,332924
1968,5-9,181622,189648,371270
1968,10-14,180795,189972,370767
